	business_id	name	address	city	state	latitude	longitude	stars	review_count	is_open
2126	1gQrMs-I8oKg2p-iRxznzQ	"""Soho Chicken + Whiskey"""	"""1889 W 25th St"""	Cleveland	OH	41.4855634	-81.70414179999999	4.5	291	1
2127	8JtnbHflEazfcLPd9ZjhnA	"""Jersey Mike's Subs"""	"""100 E Camelback Rd, Ste 120"""	Phoenix	AZ	33.510606909	-112.072888437	4.0	55	0
2128	CgCkOG9Z5gCO3fgq-ficpQ	"""Pure Pizza"""	"""1911 Central Ave"""	Charlotte	NC	35.2201453759	-80.8072895722	4.0	115	1
2129	7eQoxWr9RzyCB9IFvqHUPA	"""Pizza Heaven Bistro"""	"""5150 N 7th St"""	Phoenix	AZ	33.5124076744	-112.065353394	4.0	374	1
2130	L23qeWacyCZFjF9DL6o04w	"""Venezias New York Style Pizzeria"""	"""744 W Ray Rd, Ste 101"""	Gilbert	AZ	33.321668800000005	-111.80567109999998	4.0	260	1
2131	8p7OJYXoDJXZr6-mpFc9ng	"""Bountiful Baskets Food Co-op"""	""""""	Phoenix	AZ	33.45	-112.07	4.0	72	1
2132	vtGwb-yl69LT96mHVllWeA	"""Satisfied Frog On Bell"""	"""2827 E Bell Rd"""	Phoenix	AZ	33.640322600000005	-112.02104820000001	4.0	68	0
2133	5MNYCmCtpBboglFmrjU6yw	"""R.Kidd's Pizza & Wings"""	"""3415 W Glendale Ave"""	Phoenix	AZ	33.5378531129	-112.132958692	4.5	52	1
2134	T7yKffTuhiIZclsgjfgowA	"""Pizzeria Via Mercanti"""	"""188 Augusta Avenue"""	Toronto	ON	43.6541053	-79.4019622	4.0	176	1
2135	R0X7ohGqCtU1TTDK6bERjA	"""Hartwood Restaurant & Whispers Pub"""	"""3400 Harts Run Rd"""	Glenshaw	PA	40.55458370000001	-79.9187284	4.5	61	1
2136	_QkQMs5ZsM0jS5er75yrCg	"""Orchard Eats"""	"""2036 N Gilbert Rd, Ste 6"""	Mesa	AZ	33.452505349	-111.789505601	4.0	164	1
2137	eFwpKQB9EQtblKx65FuXLw	"""Dijlah Restaurant"""	"""4130 Butler St"""	Pittsburgh	PA	40.470131200000004	-79.96051390000001	4.0	84	1
2140	MjWwjPErWyFU9nv6NQKYgA	"""Moishe's Steakhouse"""	"""3961 Boulevard St-Laurent"""	Montréal	QC	45.5164644	-73.5782478	4.0	186	1
2141	rFb9J1njudA6j7zym5hL1Q	"""Magoo's Gourmet Hamburgers & Ice-Cream"""	"""4242 Dundas Street W"""	Etobicoke	ON	43.6591102	-79.5145218	4.0	58	1
2142	HJFKqzhV4n4ZWepneOzFhQ	"""Draw 10 Bar & Grill"""	"""5444 E Washington St, Ste A"""	Phoenix	AZ	33.446135600000005	-111.9638818	4.0	79	0
2143	5A_sjC9ULLt4UkDNtr9dkw	"""Sip Coffee & Beer Garage"""	"""3620 E Indian School Rd"""	Phoenix	AZ	33.4954355191	-112.00351156200001	4.0	208	1
2145	5m_xSthxwPoR-XvJvtTeNQ	"""PIZZAFIRE"""	"""2041 Portage Trl"""	Cuyahoga Falls	OH	41.1485848	-81.50770990000001	4.0	54	1
2146	Ly2ShApiomYZwKehwb7eRA	"""Hiro Sushi"""	"""9393 N 90th St, Ste 116"""	Scottsdale	AZ	33.570469	-111.8867191	4.5	571	1
2147	9YiQ3o0EGmtojzjXdEfgeQ	"""The Green Regime"""	"""5835 S Eastern Ave, Ste 101"""	Las Vegas	NV	36.0838414902	-115.11973399700001	4.5	56	1
2148	6oKZoCI_0ePyzfRqSFMBig	"""Roy's Restaurant"""	"""7151 W Ray Rd"""	Chandler	AZ	33.3194145644	-111.965975534	4.0	334	1
2149	U4OLUFb9VxMmpMXm1ZF-cQ	"""Pho Chandler"""	"""4055 S Arizona Ave, Ste 8"""	Chandler	AZ	33.2464364	-111.8392317	4.5	402	1
2150	W035pMPJuocijd0BLfHaiw	"""World Of Beer"""	"""1300 W Sunset Rd, Ste 2940"""	Henderson	NV	36.0667757	-115.0429179	4.0	213	1
2151	vMKQaR8bI2saI7rz8H5MYg	"""Sabor Latin Street Grill - Noda"""	"""3205 N Davidson St, Ste 105"""	Charlotte	NC	35.247284	-80.80560600000001	4.5	126	1
2153	DW5TmdNGhepqrB0JGHnJ_A	"""Bragg's Factory Diner"""	"""1301 NW Grand Ave"""	Phoenix	AZ	33.4572256	-112.0898341	4.0	213	0
2154	yBmDNVdEzW1ARUXYlKACIw	"""Dilworth Tasting Room"""	"""300 E Tremont Ave"""	Charlotte	NC	35.20874379999999	-80.8586108	4.5	77	1
2155	7usumJrTK_qs2GbSd8zIvg	"""Wake Up Coffee Cafe"""	"""6350 W Charleston Blvd, Ste 110"""	Las Vegas	NV	36.1596183	-115.2330307	4.0	85	0
2156	AZQ6eiVqhMalpVL9Bbq6Iw	"""Noble Eatery"""	"""4525 N 24th St"""	Phoenix	AZ	33.5028845	-112.02976340000001	4.5	105	1
2157	DZwR0EIPKlmC3mMLhTkqcQ	"""Stephano's Greek & Mediterranean Grill"""	"""10612 S Eastern Ave"""	Henderson	NV	35.9988269	-115.10386000000001	4.0	437	1
2158	XKQsxvDMe9rAWO0P0Uwx-Q	"""Sprouts Farmers Market"""	"""10000 W Sahara Ave"""	Las Vegas	NV	36.14591	-115.311927	4.0	144	1
2159	m6rffQy85HUq82DjLq-YJg	"""Twisted Italian"""	"""9940 W Happy Valley Pkwy, Ste 1080"""	Peoria	AZ	33.710837100000006	-112.2731342	4.0	223	1
2160	gy5pr5bFAjOL5rERSdMCLg	"""The Keg Steakhouse + Bar - York Street"""	"""165 York Street"""	Toronto	ON	43.649982	-79.38396949999999	4.0	193	1
2161	gkCorLgPyQLsptTHalL61g	"""Broadview Espresso"""	"""817 Broadview Ave"""	Toronto	ON	43.67848370000001	-79.3582545	4.0	64	1
2163	D7CnTsm8SCmbQghz1ioPdw	"""L'Orignal"""	"""479 Rue Saint-Alexis"""	Montréal	QC	45.502688899999995	-73.5581625	4.0	201	1
2164	RyGvZN-v44TddRHmd_gPMA	"""Garage Beirut"""	"""1238 rue Mackay"""	Montréal	QC	45.49519179999999	-73.5762322	4.0	105	1
2165	nWW6fBfBljiRFa4sG7TyxA	"""The Black Pig"""	"""1865 W 25th St"""	Cleveland	OH	41.4858311	-81.7044527	4.0	107	0
2166	dd88S7tQtZeDce61KqcVyA	"""Bloomfield Bridge Tavern"""	"""4412 Liberty Ave"""	Pittsburgh	PA	40.463252000000004	-79.9525956	4.0	96	0
2167	PuH3yrAjl8OhMdIL792eEA	"""Counter Intuitive"""	"""7133 E Stetson Dr, Ste 4"""	Scottsdale	AZ	33.4992384392	-111.927467893	4.5	66	1
2169	9umA26_aWjEuVe4QW7axtw	"""Paradise Valley Pizza Company"""	"""4001 East Bell Rd"""	Phoenix	AZ	33.6398283	-111.995725	4.5	64	1
2170	8I2XBrjf4rOEWx7pnKpVeg	"""Kub Khao Thai Eatery"""	"""3561 Sheppard E"""	Toronto	ON	43.780222514799995	-79.2998219176	4.0	170	1
2171	zblKqBFWq7HMACwacMpzig	"""Truffles N Bacon Café"""	"""Antiques At the Market, 6665 S Eastern Ave"""	Las Vegas	NV	36.069088	-115.119841	4.5	51	0
2173	D_mVIUu5XyrHz-7U_z_pDg	"""Nove Italiano"""	"""4321 W Flamingo Rd"""	Las Vegas	NV	36.114483	-115.194814	4.0	475	1
2176	VuYF1vGKLjEFaQfL4Ypwqg	"""Gallo Blanco"""	"""928 E Pierce St"""	Phoenix	AZ	33.456037800000004	-112.0608297	4.0	71	1
2177	VvF3nmdvyIewGQQgEfZvcQ	"""Sultan Saray"""	"""Filderstr. 43"""	Stuttgart	BW	48.764069799999994	9.1714413	4.0	61	1
2178	7tcfLr-QpzJF-y5dfNFjKg	"""David Clawson Restaurant"""	"""2840 Bicentennial Pkwy"""	Henderson	NV	35.9428967	-115.11581480000001	4.5	114	0
2179	uKfOtfZ5R1JGm5sybZmi2w	"""Louisianne's"""	"""7464 Hubbard Ave"""	Middleton	WI	43.095616	-89.511021	4.0	98	1
2180	Q4WmBfRD6rcTSXVZqjKC5Q	"""Mount Everest Sushi"""	"""128 Oakland Ave"""	Pittsburgh	PA	40.4415916	-79.95727600000001	4.5	101	1
2181	umXvdus9LbC6oxtLdXelFQ	"""Sweets Raku"""	"""5040 W Spring Mountain Rd, Ste 3"""	Las Vegas	NV	36.1264269463	-115.20991404200001	4.5	857	1
2182	3b-jZX9Ms0U9B2Oy_ZmNMA	"""Sushi Kee"""	"""1006 E Warner Rd, Ste 113"""	Tempe	AZ	33.3353841	-111.9270761	4.0	66	1
2186	TrGBHqHVzJM5tk2C1D1ctQ	"""The Sandwich Spot"""	"""3250 N Tenaya Way, Ste 104"""	Las Vegas	NV	36.219859	-115.250331	4.5	321	1
2187	20n09j__6xb7JX0xe9Oo9A	"""WinCo Foods"""	"""80 N Stephanie St"""	Henderson	NV	36.03366679999999	-115.04365790000001	4.0	181	1
2188	AqfEIxefqdArIWf9YUVAtQ	"""Omelet House"""	"""6520 Boulder Hwy"""	Las Vegas	NV	36.0827233144	-115.03153704	4.0	225	1
2189	_u1Bq7QsgMUXSMex8QHqLQ	"""Burrito Boyz"""	"""224 Adelaide Street W"""	Toronto	ON	43.648702	-79.388077	4.0	369	1
2190	kwi2TiPbCAVHsBNkEkZjVA	"""Sel"""	"""7044 E Main St"""	Scottsdale	AZ	33.4933240385	-111.92890808	4.5	96	1
2193	QvxBnMcBPP1z_NAIYCqqdA	"""Haberdish"""	"""3106 N Davidson St"""	Charlotte	NC	35.246501	-80.806128	4.5	284	1
2194	dRhhM_kK3BwUJ8YndD61_g	"""Smoke Modern Barbeque"""	"""16710 Birkdale Commons Pkwy, Ste 103"""	Huntersville	NC	35.444013299999995	-80.8816011	4.0	120	0
2196	x-H-2BYL2XoDDLiub950Ag	"""Hunan Restaurant"""	"""6000 Spring Mountain Rd, Ste 2B"""	Las Vegas	NV	36.1260223389	-115.22340393100001	4.5	67	1
2197	mtQ7Uc-j2muK0AyVQTT9fQ	"""Ibby's Fish and Chicken"""	"""6165 W Chandler Blvd, Ste 1"""	Chandler	AZ	33.3044272	-111.94795649999999	4.5	164	1
2198	CERdu01pl1cGUyjjJcIFPQ	"""Thai Tamarind"""	"""172 Lincoln Ave"""	Bellevue	PA	40.491205	-80.04750200000001	4.0	75	1
2199	_ucDskZqK5w1QHkoA_nlRw	"""Doce Taqueria"""	"""1220 E Carson St"""	Pittsburgh	PA	40.4285929	-79.9855001	4.5	188	1
2200	Rwahe1zbFpw6VIjb5ngZeg	"""Sausalido"""	"""4621 Liberty Ave"""	Pittsburgh	PA	40.462513	-79.950005	4.0	142	1
2201	IHNSikGzuGgI42DghQtL9Q	"""Millie's Cafe"""	"""1616 E Main St, Ste 104"""	Mesa	AZ	33.4155396488	-111.796482017	4.5	166	0
2203	_nUQ_iT_JEdkMN7c-wqkBQ	"""Kokoro Sushi"""	"""16 Yonge Street, Unit D"""	Toronto	ON	43.643283105500004	-79.3758856736	4.0	82	0
2204	HgdFqAvK31fB9sgBdOzo9g	"""Crêpe Expectations"""	"""9500 S Eastern Ave, Ste 150"""	Las Vegas	NV	36.016494	-115.117099	4.5	1016	1
2205	anQSLdujUOp0sTCmIBi2Tg	"""Piero's Italian Cuisine"""	"""355 Convention Center Dr"""	Las Vegas	NV	36.1320061	-115.156035	4.0	348	1
2206	sNVGdeOPeitJ3OWUQBINzQ	"""BabyStacks Cafe"""	"""4135 S Buffalo Dr, Ste 101"""	Las Vegas	NV	36.1136354358	-115.261437935	4.0	1169	1
2207	bqMEml5HIFSMo4CPfjlG0A	"""Chill"""	"""3141 S McClintock Dr, Ste 10"""	Tempe	AZ	33.39476989999999	-111.9088938	4.5	51	0
2208	kOkoz7_VLyqyN5UPselqoQ	"""Red Line Grill"""	"""15332 West Bell Rd"""	Surprise	AZ	33.6392554	-112.39045209999999	4.0	132	1
2209	J4iCg9pHLFihFC9LETupMg	"""Bahama Buck's"""	"""865 South Cooper Rd"""	Gilbert	AZ	33.334181	-111.8063298	4.0	109	1
2211	fOnpoMXToa5Qiyg95E6ENg	"""Mike and Ronda's The Place"""	"""5171 W Bell Rd"""	Glendale	AZ	33.6386733386	-112.17098378799999	4.0	493	1
2213	fXqlzAM6PTXUGrU4y33LzQ	"""La Casa De Juana"""	"""1805 E Elliot Rd"""	Tempe	AZ	33.347839589	-111.91000626	4.0	190	1
2214	VYNriOotbFZ7Qj_6jwUB5g	"""Sergio's Italian Gardens"""	"""1955 E Tropicana Ave"""	Las Vegas	NV	36.100414	-115.12658290000002	4.0	148	0
2215	jUqCRsuGqwePkDKQ1fM6TA	"""Sugar N Spice Coffee & Tea"""	"""14970 W Indian School Rd"""	Goodyear	AZ	33.492673499999995	-112.38011909999999	4.0	142	1
2216	meLoeZ7sXUNVPxmKkyMI7w	"""Sutra Midtown"""	"""2317 N 7th St"""	Phoenix	AZ	33.4739049	-112.06482040000002	4.5	67	1
2217	o7WABjZct-u2gpBR8LXckQ	"""Costco"""	"""1415 N Arizona Ave"""	Gilbert	AZ	33.375836327100004	-111.84152357	4.0	70	1
2218	SjgeuBlgKER9yegpoxT99w	"""Nomé Izakaya"""	"""4848 Yonge Street"""	Toronto	ON	43.7626495361	-79.4114685059	4.0	416	1
2219	PLiVD2blqBDRzAAd1_RxxQ	"""Barriques - Monroe St."""	"""1825 Monroe St"""	Madison	WI	43.0649299	-89.4165809	4.0	62	1
2224	OON-4BXdjJHdk16zhdN4PQ	"""Madistan"""	"""317 N Bassett St"""	Madison	WI	43.0730621	-89.39354159999999	4.0	55	1
2225	Gml97gSULiA6HFjie01d3Q	"""Pellegrini Pizza"""	"""101 S Rainbow Blvd, Ste 7"""	Las Vegas	NV	36.173035	-115.24276100000002	4.0	239	1
2226	0GVu1xLqxbUQLfSCp25OGQ	"""TeaStreet"""	"""6050 W Chandler Blvd"""	Chandler	AZ	33.3058373	-111.94628629999998	4.0	85	1
2227	l3joBBpkq0ib11dKUpKMAw	"""Karaoke Q Studio"""	"""3400 S Jones Blvd, Ste 11"""	Las Vegas	NV	36.1273078	-115.22436119999999	4.5	460	1
2229	06LmLcjFUb6b1HmhNllJZg	"""Lemongrass Grill"""	"""20 N Main St"""	Munroe Falls	OH	41.139678	-81.438666	4.5	89	1
2230	ImkAc07Pppz0D3KC4iBTng	"""Flame Kabob"""	"""1205 W Warm Springs Rd, Ste 112"""	Henderson	NV	36.054812203400004	-115.037986665	4.5	132	1
2233	3BCsAgo_1i4xMuTyLKMLRQ	"""SkinnyFATS"""	"""6261 Dean Martin Dr"""	Las Vegas	NV	36.075969145900004	-115.1817241	4.5	1741	1
2234	9wgtfID8mrrd0-oeDpq7Hw	"""Queen City Burgers & Crafts, QCBC"""	"""135 Brevard Ct"""	Charlotte	NC	35.225666100000005	-80.8468307	4.0	52	1
2235	Q2KN94tNrtldyr_1flHPdQ	"""Tasty Shawarma"""	"""2993 Sheppard Avenue E"""	Toronto	ON	43.7763175	-79.3185249	4.0	52	1
2236	gZYt10Kn-eHpo3n4lx3iBg	"""Marco's Italian Bistro"""	"""10855 N Frank Lloyd Wright Blvd, Ste 100"""	Scottsdale	AZ	33.584835	-111.83390530000001	4.0	81	1
2237	zN4f3aLeCuIhCTPRH0di-A	"""Salud Mexican Bistro and Tequileria"""	"""8125 W Sahara Ave, Ste 110"""	Las Vegas	NV	36.1423498621	-115.268324353	5.0	70	1
2239	YoDLrSlxF-ofSvuJTK9fzw	"""Berdena's"""	"""7051 E 5th Ave, Ste I"""	Scottsdale	AZ	33.497470460100004	-111.929601766	5.0	65	1
2240	1Bc4KYox4Fux-aLV4OfFnA	"""Shelly Pie"""	"""912 Penn Ave"""	Turtle Creek	PA	40.40590220000001	-79.8250479	4.0	87	1
2241	BKLWat64KRYzsT2DgY6Xxg	"""Jarling's Custard Cup"""	"""309 W Kirby Ave"""	Champaign	IL	40.097721299999996	-88.2477415	4.0	220	1
2242	-PUPEpMsjBjk_rX5lFaWng	"""Pesto's"""	"""1960 W Ray Rd, Ste 4"""	Chandler	AZ	33.321177299999995	-111.87490690000001	4.0	214	1
2243	E4JyAzB5_2quptwtemyhYA	"""Original Breakfast House"""	"""13623 N 32nd St"""	Phoenix	AZ	33.6108041847	-112.012835966	4.5	1097	1
2244	IbiPt7jzF8Wsu82nHXaJPA	"""Saino Indian Nepali Kitchen"""	"""4860 W Desert Inn Rd, Ste 09"""	Las Vegas	NV	36.1316910159	-115.207329198	4.5	106	0
2245	tFC0oaQO0wpwMIaJyUSsAQ	"""Paris Baguette"""	"""3377 Las Vegas Blvd, Ste 2390"""	Las Vegas	NV	36.1218691	-115.1696529	4.0	122	1
2247	-zEpEmDfFQL-ph0N3BDlXA	"""Sakanaya Restaurant"""	"""403 E Green St"""	Champaign	IL	40.110113	-88.23321800000001	4.5	314	1
2249	ydmyfVtoFeoAhKGIsPiauQ	"""Rita's Italian Ice"""	"""693 N Stephanie St"""	Henderson	NV	36.066484915	-115.04658856	4.0	150	1
2250	9MnbQg7kfb_WgxoV0hXKSQ	"""Black Dog Smoke & Ale House"""	"""201 N Broadway Ave"""	Urbana	IL	40.113818215500004	-88.2076892527	4.5	744	1
2251	2um9bzTSvD3f2tkdBoA38g	"""Kid Cashew"""	"""1608 East Blvd"""	Charlotte	NC	35.1991851	-80.8414488	4.0	264	1
2252	hFT3HuxVZJb1uYEsYfp-0A	"""Blaqcat Ultra Hookah Lounge"""	"""6340 W Charleston Blvd, Ste 140"""	Las Vegas	NV	36.1597422739	-115.23273812	5.0	62	1
2253	lcSsIw_oC-OT2veksCtRwg	"""China Way Restaurant"""	"""3021 N Alma School Rd"""	Chandler	AZ	33.3510152	-111.8586902	4.0	90	1
2254	uGzxwS3Q6QuyFw2ZnDvw0w	"""JackBeagles"""	"""3213 N Davidson St"""	Charlotte	NC	35.2474328	-80.8054985	4.0	272	1
2255	XSY26vVt9qvLh3SAECPzkg	"""The Melting Pot - Huntersville"""	"""16625 Statesville Rd"""	Huntersville	NC	35.4412934	-80.8672305	4.0	65	1
2256	Rj-7ymdw8aNZBRqGRAjR3Q	"""El Segundo Sol"""	"""3200 S Las Vegas Blvd"""	Las Vegas	NV	36.1275122369	-115.16886899100001	4.0	666	1
2257	ZTg8adZipR3QDoJmFZZqJw	"""Yard House"""	"""160 Union St"""	Westlake	OH	41.461131719499996	-81.9515731776	4.0	229	1
2260	igHYkXZMLAc9UdV5VnR_AA	"""Echo & Rig"""	"""440 S Rampart Blvd"""	Las Vegas	NV	36.166576	-115.28623200000001	4.5	1924	1
2261	qqIgj3vpc54Bab5xWfwONA	"""Pita Kabab Grill"""	"""131 E John St"""	Matthews	NC	35.1154705	-80.72070550000001	4.0	126	1
2262	FogTa-wmjhVnJCoTiaxvZA	"""Postino Central"""	"""5144 N Central Ave"""	Phoenix	AZ	33.5126732	-112.07409979999998	4.5	940	1
2264	ySG8ryvIOkwNF2hKG6pYkw	"""RD's Southern BBQ"""	"""25 Aventura Court"""	Mississauga	ON	43.645839	-79.704273	4.0	68	1
2265	9LE2yGl23qxitNc9mkpbjA	"""Fresca Pizza & Pasta"""	"""302 College Street"""	Toronto	ON	43.6578089	-79.4017213	4.0	81	1
2267	ZspGe6tJ3d2Y4rxwAG8h-Q	"""Corner By Spoon and Fork"""	"""1225 Dundas Street E, Suite 14B"""	Mississauga	ON	43.606500116199996	-79.5879746494	4.0	87	1
2268	c6-5RCj8FtV-m1aHz4wnmQ	"""Saigon Palace"""	"""5215 South Blvd"""	Charlotte	NC	35.1658383354	-80.87540287520001	4.0	192	1
2271	qRAtdHUPhNda2p4l9e5S5Q	"""Cafe Zamora"""	"""606 E Western Ave"""	Avondale	AZ	33.435344199999996	-112.3429936	4.0	72	1
2272	Xt6xo-UmJhYtHiscwRnw0A	"""Southern Tier Brewing"""	"""316 N Shore Dr"""	Pittsburgh	PA	40.4461135	-80.0103422	4.0	119	1
2273	ytX-rw4wwOgmzr1n5RuxpA	"""Layla's Persian Food"""	"""141 S Butler St"""	Madison	WI	43.075171000000005	-89.37861	4.0	51	1
2274	Wuo8bVfUscGkJaWSSyNGlA	"""Va Da Vie"""	"""4203 Park Rd"""	Charlotte	NC	35.174475	-80.84964599999999	4.5	185	1
2277	76VQeyubOwzkb6LxoWIhXQ	"""Baldwin Barmacie"""	"""115 Avenue Laurier O"""	Montréal	QC	45.521640600000005	-73.5941173	4.0	60	0
2278	E62l6LwZJ7lKaExcUbrtYw	"""Hikari"""	"""4175 S Buffalo Dr"""	Las Vegas	NV	36.112930799999994	-115.26137450000002	4.0	615	1
2280	Xspg78dOvuedvuPEUwZBjw	"""The Beat Coffeehouse & Records"""	"""520 Fremont St"""	Las Vegas	NV	36.1691083	-115.1395836	4.0	331	0
2281	i9D9xPBV0gR1Ja9kbY4NCw	"""CRAFTkitchen"""	"""10940 S Eastern Ave, Ste 107"""	Henderson	NV	35.994189398	-115.099795374	4.0	550	1
2285	o9eVtV66qMtY0VmWyY2N9Q	"""Bethel Bakery"""	"""5200 Brightwood Rd"""	Bethel Park	PA	40.3297456	-80.0302242	4.0	63	1
2286	z15C-dJodOlPO8bMBl6F8g	"""Bar Marco"""	"""2216 Penn Ave"""	Pittsburgh	PA	40.4524729	-79.98151379999999	4.0	250	1
2287	3p0yosq4IE5E2B91PdoOSQ	"""Khyber Pass"""	"""506 Avenue Duluth E"""	Montréal	QC	45.521868100000006	-73.5746576	4.0	113	1
2288	4iSVxQKK1G3V-LBffQxaKg	"""Klavon's Ice Cream Parlor"""	"""2801 Penn Ave"""	Pittsburgh	PA	40.45704979999999	-79.9756514	4.0	149	1
2290	C6MG3vrloHF8h9PPvZNiJA	"""Thai Patio"""	"""1929 N Power Rd, Ste 101"""	Mesa	AZ	33.4510401	-111.682255	4.0	136	1
2291	rntKF4Dm9JIJoSNi5XqRsQ	"""Northern Dumpling Kitchen"""	"""550 Highway 7 E, Unit 52A"""	Richmond Hill	ON	43.8450976	-79.3839546	4.0	142	1
2292	eMKqAItLbazgUT8xokz7fw	"""Wine 5 Cafe"""	"""3250 N Tenaya Ave, Ste 110"""	Las Vegas	NV	36.2198728	-115.2511034	4.5	215	0
2294	VH3WA7a-OVzFj2K_SP4BIw	"""The King's Kitchen"""	"""129 W Trade St"""	Charlotte	NC	35.227757000000004	-80.84432199999999	4.0	457	1
2295	Sqwa2aNwnqCmc95gVWQ9bA	"""Brass Monkey"""	"""14 Drummond Street"""	Edinburgh	EDH	55.94729770000001	-3.1852915	4.0	96	1
2298	x2JxsUlVFrcQ3FvK2UR6KA	"""CraftHaus Brewery"""	"""7350 Eastgate Rd, Ste 110"""	Henderson	NV	36.05470379999999	-115.0169916	4.5	133	1
2300	6eRSdODyj9GS0w6zlhrWkg	"""Adega Restaurante"""	"""33 Elm St"""	Toronto	ON	43.6573112	-79.3832292	4.0	120	1
2301	uDb1lOfDhl_VLmAbYvp-vQ	"""Benny Pennello's"""	"""2909 N Davidson St, Ste 100"""	Charlotte	NC	35.245467700000006	-80.8094402	4.0	218	1
2302	kp-FRmyPxjsAoEK1-21rSQ	"""Riccio's Italian Restaurant"""	"""9213 Baybrook Ln"""	Charlotte	NC	35.07951679999999	-80.8289808	4.0	127	1
2304	DZfFFSVFVJVxs3vfFVVf0w	"""Famous Ray's Pizza"""	"""350 E Bell Rd"""	Phoenix	AZ	33.641656	-112.068766	4.0	190	1
2306	UiUZfYqkfv61VXoe2s2ylw	"""Larsen's Grill"""	"""1300 W Sunset Rd, Ste 2950"""	Henderson	NV	36.0671402448	-115.04285192200001	4.0	178	1
2307	DB9BRdu7is0AK1DvcuKlcw	"""Five Guys"""	"""9484 W Flamingo Rd, Ste 180"""	Las Vegas	NV	36.1157216132	-115.29903181700001	4.0	261	1
2308	qWSwDbtJRBvKTiMpH3rNLQ	"""Deejai Thai"""	"""613 Providence Rd"""	Charlotte	NC	35.2013619	-80.8246661	4.0	220	1
2313	DI5lVpHe3xf-IPr_mgzxyg	"""Rubio's"""	"""15479 W McDowell Rd, Ste 101"""	Goodyear	AZ	33.463919	-112.39201240000001	4.0	86	1
2316	pgAbvxct5ysUXBDYXVTx6w	"""Ajbani Moroccan Cuisine"""	"""2903 - C Central Ave"""	Charlotte	NC	35.2184893106	-80.79514692149999	4.0	63	0
2317	giCq1MmW-_S2tvNOAHvJcQ	"""Tarbell's The Tavern"""	"""3209 E Camelback Rd"""	Phoenix	AZ	33.5091229429	-112.012628783	4.5	71	1
2318	wQ45yxhEgObKB3W8lw_R0A	"""Mr D's Frozen Custard"""	"""10385 S Eastern Ave"""	Henderson	NV	36.001454700000004	-115.1082415	4.0	65	0
2319	JCZEK7wiazoM6xiq8YeZyw	"""The Peppersauce Cafe"""	"""3937 E Anne St"""	Phoenix	AZ	33.412592	-111.99611100000001	4.0	102	1
2321	cX2Nr_XmGYlMaBW35M0sUg	"""Mabel's BBQ"""	"""2050 E 4th St"""	Cleveland	OH	41.4989512054	-81.6902246154	4.0	542	1
2322	TKaND6oV1n2ylnCYoAfoag	"""La Plaza Supermarket"""	"""13609 Lakewood Heights Blvd"""	Cleveland	OH	41.4701911	-81.7860749	4.5	139	1
2323	MH4xIHZ5-ajRMW3ZhUvtxA	"""Dolce Gelato"""	"""697 College Street"""	Toronto	ON	43.6551043	-79.4175693	4.0	119	1
2324	68O06rHoYy-7IH04I2OEXg	"""Mario's Pizza"""	"""13915 N Dysart Rd, Ste 3"""	El Mirage	AZ	33.610226700000005	-112.3412753	4.0	86	1
2325	4XDWHIN46wzg8MXpo8PvQA	"""Ray's Pizza"""	"""15603 N 59th Ave"""	Glendale	AZ	33.62652670000001	-112.18494109999999	4.0	101	1
2327	2JU7FRlnYgdRauYyFzHSLA	"""Hamburger Hut 'N' Market"""	"""2512 E Cheyenne Ave"""	North Las Vegas	NV	36.2180977	-115.11610690000002	4.0	129	1
2328	2uRM8Et0uJVl8u1jSnmuKw	"""Takeda Thai"""	"""10271 N Scottsdale Rd"""	Scottsdale	AZ	33.579786799999994	-111.92406489999999	4.0	181	1
2329	OtGSQQzV7uF8XPAsNIh7Bw	"""Elements"""	"""5700 E McDonald Dr"""	Paradise Valley	AZ	33.5224085783	-111.959618636	4.0	454	1
2330	kFMEdURGAp4g29oaiF5Hjg	"""Earth Rosedale"""	"""1055 Yonge Street"""	Toronto	ON	43.6783912	-79.38982469999999	4.0	63	0
2332	DYX1KsipIxOzz_pqlvUzvg	"""Capriccio"""	"""9611 Brookdale Dr"""	Charlotte	NC	35.2831030494	-80.6689347506	4.5	83	1
2334	ASdkR68GWVdt6rQsiZAN5w	"""Raw Food Express"""	"""5105 S Fort Apache, Ste 110"""	Las Vegas	NV	36.0947119	-115.29765590000001	4.5	52	0
2335	QDF7w0casJ78PcPmtMDISw	"""Thai Room"""	"""3355 E Tropicana Ave, Ste D"""	Las Vegas	NV	36.0990599	-115.10248349999999	4.0	150	1
2336	XD5yy714NkCMpzO4tnQF4A	"""Boss's Slow Smoked BBQ"""	"""2895 N Green Valley Pkwy, Ste C"""	Henderson	NV	36.074028600000005	-115.0828906	4.0	61	1
2339	ASg9gG8x4IaaYnePCBa2Kg	"""Gelato Dolce Vita"""	"""5251 E Brown Rd, Ste 104"""	Mesa	AZ	33.436063	-111.717176	5.0	200	1
2340	xfCgxY_SQfzxFsQjNiLJEQ	"""Mitchell's Homemade Ice Cream - Cleveland"""	"""1867 W 25th St"""	Cleveland	OH	41.485917	-81.704254	4.5	228	1
2341	XPIUUhZyClvXW4-rT3tRMQ	"""Bahama Buck's"""	"""7345 Arroyo Crossing Pkwy, Ste 105"""	Las Vegas	NV	36.0630388	-115.2520521	4.0	185	1
